venue_id,effective_from_utc,effective_to_utc,available_at_utc,altitude_m,surface_turf,roof_capable,source_url
ford-field,2026-01-01T00:00:00Z,,2026-08-29T00:00:00Z,183,1,1,https://www.detroitlions.com/ford-field/|https://static.www.nfl.com/league/apps/league-site/media-guides/2025/DET.pdf|https://epqs.nationalmap.gov/v1/json?x=-83.0456&y=42.3400&units=Meters&wkid=4326&includeDate=False
lambeau-field,2026-01-01T00:00:00Z,,2026-08-29T00:00:00Z,183,0,0,https://www.packers.com/lambeau-field/|https://static.www.nfl.com/league/apps/league-site/media-guides/2025/GB.pdf|https://epqs.nationalmap.gov/v1/json?x=-88.0622&y=44.5013&units=Meters&wkid=4326&includeDate=False
nrg-stadium,2026-01-01T00:00:00Z,,2026-08-29T00:00:00Z,15,1,1,https://www.houstontexans.com/stadium/|https://static.www.nfl.com/league/apps/league-site/media-guides/2025/HOU.pdf|https://epqs.nationalmap.gov/v1/json?x=-95.4107&y=29.6847&units=Meters&wkid=4326&includeDate=False
lucas-oil-stadium,2026-01-01T00:00:00Z,,2026-08-29T00:00:00Z,218,1,1,https://www.lucasoilstadium.com/|https://static.www.nfl.com/league/apps/league-site/media-guides/2025/IND.pdf|https://epqs.nationalmap.gov/v1/json?x=-86.1639&y=39.7601&units=Meters&wkid=4326&includeDate=False
everbank-stadium,2026-01-01T00:00:00Z,,2026-08-29T00:00:00Z,5,0,0,https://www.jaguars.com/stadium/|https://static.www.nfl.com/league/apps/league-site/media-guides/2025/JAX.pdf|https://epqs.nationalmap.gov/v1/json?x=-81.6373&y=30.3239&units=Meters&wkid=4326&includeDate=False
geha-field-at-arrowhead-stadium,2026-01-01T00:00:00Z,,2026-08-29T00:00:00Z,264,0,0,https://www.chiefs.com/stadium/|https://static.www.nfl.com/league/apps/league-site/media-guides/2025/KC.pdf|https://epqs.nationalmap.gov/v1/json?x=-94.4839&y=39.0489&units=Meters&wkid=4326&includeDate=False
allegiant-stadium,2026-01-01T00:00:00Z,,2026-08-29T00:00:00Z,610,0,1,https://www.raiders.com/stadium/|https://www.nfl.com/news/raiders-hold-practice-at-allegiant-stadium-welcome-to-the-death-star|https://epqs.nationalmap.gov/v1/json?x=-115.1830&y=36.0908&units=Meters&wkid=4326&includeDate=False
sofi-stadium,2026-01-01T00:00:00Z,,2026-08-29T00:00:00Z,40,1,1,https://www.sofistadium.com/|https://static.www.nfl.com/league/apps/league-site/media-guides/2025/LAR.pdf|https://epqs.nationalmap.gov/v1/json?x=-118.3392&y=33.9535&units=Meters&wkid=4326&includeDate=False
hard-rock-stadium,2026-01-01T00:00:00Z,,2026-08-29T00:00:00Z,2,0,0,https://www.hardrockstadium.com/|https://static.www.nfl.com/league/apps/league-site/media-guides/2025/MIA.pdf|https://epqs.nationalmap.gov/v1/json?x=-80.2389&y=25.9580&units=Meters&wkid=4326&includeDate=False
us-bank-stadium,2026-01-01T00:00:00Z,,2026-08-29T00:00:00Z,253,1,1,https://www.vikings.com/stadium/|https://static.www.nfl.com/league/apps/league-site/media-guides/2025/MIN.pdf|https://epqs.nationalmap.gov/v1/json?x=-93.2581&y=44.9738&units=Meters&wkid=4326&includeDate=False
gillette-stadium,2026-01-01T00:00:00Z,,2026-08-29T00:00:00Z,88,1,0,https://www.patriots.com/stadium/|https://static.www.nfl.com/league/apps/league-site/media-guides/2025/NE.pdf|https://epqs.nationalmap.gov/v1/json?x=-71.2643&y=42.0909&units=Meters&wkid=4326&includeDate=False
caesars-superdome,2026-01-01T00:00:00Z,,2026-08-29T00:00:00Z,1,1,1,https://www.neworleanssaints.com/stadium/|https://static.www.nfl.com/league/apps/league-site/media-guides/2025/NO.pdf|https://epqs.nationalmap.gov/v1/json?x=-90.0812&y=29.9511&units=Meters&wkid=4326&includeDate=False
metlife-stadium,2026-01-01T00:00:00Z,,2026-08-29T00:00:00Z,3,1,0,https://www.metlifestadium.com/|https://static.www.nfl.com/league/apps/league-site/media-guides/2025/NYG.pdf|https://epqs.nationalmap.gov/v1/json?x=-74.0745&y=40.8135&units=Meters&wkid=4326&includeDate=False
lincoln-financial-field,2026-01-01T00:00:00Z,,2026-08-29T00:00:00Z,4,0,0,https://www.lincolnfinancialfield.com/|https://static.www.nfl.com/league/apps/league-site/media-guides/2025/PHI.pdf|https://epqs.nationalmap.gov/v1/json?x=-75.1675&y=39.9008&units=Meters&wkid=4326&includeDate=False
acrisure-stadium,2026-01-01T00:00:00Z,,2026-08-29T00:00:00Z,223,0,0,https://acrisurestadium.com/|https://static.www.nfl.com/league/apps/league-site/media-guides/2025/PIT.pdf|https://epqs.nationalmap.gov/v1/json?x=-80.0158&y=40.4468&units=Meters&wkid=4326&includeDate=False
levis-stadium,2026-01-01T00:00:00Z,,2026-08-29T00:00:00Z,12,0,0,https://www.49ers.com/stadium/|https://static.www.nfl.com/league/apps/league-site/media-guides/2025/SF.pdf|https://epqs.nationalmap.gov/v1/json?x=-121.9700&y=37.4030&units=Meters&wkid=4326&includeDate=False
lumen-field,2026-01-01T00:00:00Z,,2026-08-29T00:00:00Z,5,1,0,https://www.lumenfield.com/|https://static.www.nfl.com/league/apps/league-site/media-guides/2025/SEA.pdf|https://epqs.nationalmap.gov/v1/json?x=-122.3316&y=47.5952&units=Meters&wkid=4326&includeDate=False
raymond-james-stadium,2026-01-01T00:00:00Z,,2026-08-29T00:00:00Z,15,0,0,https://www.buccaneers.com/stadium/|https://static.www.nfl.com/league/apps/league-site/media-guides/2025/TB.pdf|https://epqs.nationalmap.gov/v1/json?x=-82.5033&y=27.9759&units=Meters&wkid=4326&includeDate=False
nissan-stadium,2026-01-01T00:00:00Z,,2026-08-29T00:00:00Z,126,1,0,https://www.tennesseetitans.com/stadium/|https://static.www.nfl.com/league/apps/league-site/media-guides/2025/TEN.pdf|https://epqs.nationalmap.gov/v1/json?x=-86.7713&y=36.1665&units=Meters&wkid=4326&includeDate=False
northwest-stadium,2026-01-01T00:00:00Z,,2026-08-29T00:00:00Z,46,0,0,https://www.commanders.com/stadium/|https://static.www.nfl.com/league/apps/league-site/media-guides/2025/WAS.pdf|https://epqs.nationalmap.gov/v1/json?x=-76.8645&y=38.9077&units=Meters&wkid=4326&includeDate=False
melbourne-cricket-ground,2026-01-01T00:00:00Z,,2026-08-29T00:00:00Z,31,0,0,https://operations.nfl.com/programs-initiatives/international-growth/nfl-international-games/|https://www.mcg.org.au/about/stadium-operations/portable-cricket-pitches|https://www.mcg.org.au/plan-a-visit/seating-and-ticket-information/seating-maps|https://portal.ga.gov.au/
maracana-stadium,2026-01-01T00:00:00Z,,2026-08-29T00:00:00Z,2,0,0,https://operations.nfl.com/programs-initiatives/international-growth/nfl-international-games/|https://www.rj.gov.br/casacivil/sites/default/files/arquivos_paginas/14.Anexo%20XI%20-%20Guia%20de%20Escopo%20Operacional_0.pdf|https://www.concessaomaracana.rj.gov.br/sites/default/files/arquivos_paginas/Relat%C3%B3rio%20de%20Inspe%C3%A7%C3%A3o%20Cobertura%20Maracan%C3%A3%202020.pdf|https://bdgex.eb.mil.br/
tottenham-hotspur-stadium,2026-01-01T00:00:00Z,,2026-08-29T00:00:00Z,18,1,0,https://operations.nfl.com/programs-initiatives/international-growth/nfl-international-games/|https://www.tottenhamhotspur.com/news/1032423/scx-to-supply-world-first-dividing-retractable-pitch-for-tottenham-hotspurs-new-stadium|https://environment.data.gov.uk/survey
wembley-stadium,2026-01-01T00:00:00Z,,2026-08-29T00:00:00Z,40,0,0,https://operations.nfl.com/programs-initiatives/international-growth/nfl-international-games/|https://help.wembleystadium.com/support/solutions/articles/7000028145-stats-and-facts|https://help.wembleystadium.com/support/solutions/articles/7000028144-does-the-roof-close-will-i-get-wet-if-it-rains-|https://environment.data.gov.uk/survey
stade-de-france,2026-01-01T00:00:00Z,,2026-08-29T00:00:00Z,35,0,0,https://operations.nfl.com/programs-initiatives/international-growth/nfl-international-games/|https://www.stadefrance.com/fr/le-stade/notre-histoire|https://www.stadefrance.com/medias/docs/rapport_rse/Rapport_RSE23_2_VF.pdf|https://www.geoportail.gouv.fr/carte
bernabeu-stadium,2026-01-01T00:00:00Z,,2026-08-29T00:00:00Z,667,0,1,https://operations.nfl.com/programs-initiatives/international-growth/nfl-international-games/|https://bernabeu.realmadrid.com/en-US/corporate-events/terreno-de-juego|https://www.ign.es/iberpix/visor/
fc-bayern-munich-arena,2026-01-01T00:00:00Z,,2026-08-29T00:00:00Z,492,0,0,https://operations.nfl.com/programs-initiatives/international-growth/nfl-international-games/|https://allianz-arena.com/en/arena/facts/general-information|https://allianz-arena.com/en/faq|https://geoportal.bayern.de/bayernatlas/
estadio-banorte,2026-01-01T00:00:00Z,,2026-08-29T00:00:00Z,2240,0,0,https://operations.nfl.com/programs-initiatives/international-growth/nfl-international-games/|https://www.estadiobanorte.com.mx/noticias/conoce-todos-las-novedades-que-ofrece-el-estadio-banorte|https://www.estadiobanorte.com.mx/historia|https://gaia.inegi.org.mx/mdm6/
